text,sentiment,Platform,target_map
See you in the cloud,neutral,twitter,2
What a great day!!! Looks like dream.,positive,twitter,1
"I feel sorry, I miss you here in the sea beach",positive,facebook,1
Don't angry me,negative,facebook,0
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,negative,facebook,0
"Those who want to go, let them go",negative,instagram,0
"Its night 2 am, feeling neutral",neutral,facebook,2
2 am feedings for the baby are fun when he is all smiles and coos,positive,facebook,1
Soooo high,neutral,instagram,2
 Both of you,neutral,twitter,2
Today first time I arrive in the boat. Its amazing journey,positive,facebook,1
Love is something like E=MC^2 rules,neutral,instagram,2
I really really like the song Cardigan by Taylor Swift,positive,twitter,1
My Sharpie is running DANGERously low on ink,negative,facebook,0
i want to go to music tonight but i lost my voice.,negative,instagram,0
Always somewhere I miss you where I have been,neutral,twitter,2
Don't distrube me,negative,facebook,0
"I don't care, who are you and what can you do",negative,instagram,0
i`ve been sick for the past few days ,neutral,twitter,2
"I'm come back home, my past job, its really good time for me",positive,facebook,1
I will never fall in love until I found you,positive,instagram,1
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",neutral,twitter,2
"Playing with kids, its amazing",positive,facebook,1
is cleaning the house for her family who is comming later today..,neutral,instagram,2
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,negative,twitter,0
"Follow me, I will follow you too",neutral,facebook,2
"Its amazing game, I playing everyday",positive,instagram,1
  I`m sorry.,negative,facebook,0
"I'm in the village now and there hardly found internate, feeling gloomy",negative,instagram,0
juss came back from Barisal,neutral,twitter,2
Went to sleep and there is a power cut in the village. ,neutral,facebook,2
How looks like our company new logo?,positive,instagram,1
"I buy Sophie's world book, I'm really so happy",positive,twitter,1
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,facebook,0
 That`s very funny.  Cute kids.,positive,instagram,1
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,twitter,2
My semester final exam is complete. Hurray!!!,positive,facebook,1
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,instagram,0
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,twitter,2
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,facebook,0
 romance zero is funny,positive,facebook,1
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,twitter,2
Yor are so unromantic,negative,facebook,0
MAYDAY?!,neutral,instagram,2
 I`d rather do the early run..but I am a morning runner,neutral,twitter,2
 I love to! But I`m only available from 5pm.  and where dear?,positive,facebook,1
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,instagram,2
 i talk to you,neutral,facebook,2
Grabbing coffee from  then making mom breakfast,neutral,facebook,2
im thinking that im going to have fun tonight....and maybe some changes are coming,positive,twitter,1
 thanks. before the major chop.,neutral,instagram,2
" Haha I know, I cant handle the fame!  and thank you!",positive,facebook,1
just got up and updated my ipod,neutral,twitter,2
"I still loving you, you are my love",positive,instagram,1
"Lets go, its time to play cricket match",positive,facebook,1
"Hey everyone, do you watch cricket match between eng vs aus yesterday",neutral,twitter,2
Australia cricket team I love you,positive,instagram,1
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,facebook,2
Feeling smooth like chrome,positive,twitter,1
feeling gloomy,negative,instagram,0
Today we will go a concert,neutral,facebook,2
i need coffee too.,neutral,twitter,2
 Sounds like me,neutral,instagram,2
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,facebook,2
Walking to class. I hate not having a bike....especially mine.,negative,twitter,0
I'm start learning machine learning,neutral,instagram,2
failed inspection. ,negative,facebook,0
Lets sing a song,positive,instagram,1
happy father`s day to all the father in the world.,positive,facebook,1
"Today, my semester final exam was really great",positive,twitter,1
Really great day,positive,instagram,1
The exception for a short dude,neutral,facebook,2
Congratulation for your achievement,positive,twitter,1
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ",positive,instagram,1
 Yes i work 9 to 5 ,neutral,facebook,2
" Hmmm, maybe that`s what they meant. ",neutral,twitter,2
Done at the spa   now meeting vic for some late lunch!,neutral,instagram,2
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,facebook,1
 Always have wanted to go to university,neutral,twitter,2
 Thanks,neutral,instagram,2
Really great football match,positive,facebook,1
  that`s why I need to be there,positive,twitter,1
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,instagram,2
 If only we could ever actually be allowed to stay here and do that,neutral,facebook,2
 Let me know how that turns out!!,neutral,twitter,2
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral,instagram,2
" yeah I was thinking about that ,ahaha",positive,facebook,1
Today is our EEE day,neutral,instagram,2
I`m not sleeping at all until  accepts my appology,negative,twitter,0
I'm studying in psychology,negative,facebook,0
" I live for pain, bring it on",neutral,instagram,2
"okay, i`m out for a while  back later!",neutral,twitter,2
"We visited worlds longest sea beach, Its really amazing time for us",positive,facebook,1
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,positive,instagram,1
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,twitter,2
your attitude looks like autistics child,negative,facebook,0
going to shower because i don`t want to smell at school tomorrow,neutral,instagram,2
Do you know sign languages,neutral,twitter,2
 Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,negative,twitter,0
may the fourth be with you! happy star wars day,positive,instagram,1
just got home from work,neutral,twitter,2
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,instagram,0
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,facebook,1
 it was only once for my big brother,neutral,twitter,2
good news: finally finished my bachelor degree,neutral,instagram,2
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,facebook,1
"yesterday I'm watch a movie, that’s was really motivated for me",positive,twitter,1
  hope he is ok!,positive,instagram,1
can`t school just be done already? it hurts too much... seeing him every day,positive,facebook,1
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,twitter,2
 Hell Yeah!,neutral,instagram,2
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,facebook,2
 i know!!,neutral,twitter,2
 Smelly? Noooo. I love alex Vixon,neutral,instagram,2
"Went to a party last night. GREAT MINDS THINK ALIKE  Anyway, happy birthday",positive,facebook,1
" Happy birthday! Just woke up on this side of Earth, so wishes are bit late",positive,twitter,1
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,instagram,1
HAPPY MOTHERS DAY.!,positive,facebook,1
" laughs I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive,twitter,1
  Thanks,positive,instagram,1
twittering after 2 days!,neutral,twitter,2
Getting ready for week  Its too nice today to be stuck inside working!,positive,instagram,1
I am tres depressed,negative,facebook,0
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,twitter,0
Happy Mothers Day people. i love my mom a lot still,positive,instagram,1
 I`m sorry to hear that.,negative,facebook,0
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive,twitter,1
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,instagram,1
Is getting the hang of Twitter.,neutral,facebook,2
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,twitter,0
I want it BACK NOW!,neutral,instagram,2
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,facebook,0
"bathing with two little angels, Keyla and Janice.",neutral,twitter,2
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,instagram,0
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral,twitter,2
"Family is here,hanging with them",neutral,instagram,2
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,facebook,1
 what`s goin on hun?  I`m worried about you,negative,instagram,0
 Im not bannished... but I am at work till 6,negative,facebook,0
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral,twitter,2
Grabbing coffee from  then making mom breakfast,neutral,facebook,2
im thinking that im going to have fun tonight....and maybe some changes are coming,positive,twitter,1
Grabbing coffee from  then making mom breakfast,neutral,facebook,2
im thinking that im going to have fun tonight....and maybe some changes are coming,positive,twitter,1
 thanks. before the major chop.,neutral,instagram,2
" Haha I know, I cant handle the fame!  and thank you!",positive,facebook,1
just got up and updated my ipod,neutral,twitter,2
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,instagram,1
 We never miss ICarly - my son has a huge crush on Miranda,positive,facebook,1
Saw James carville in the store today. His head is really that bald,neutral,twitter,2
I love blue and programming,neutral,instagram,2
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,facebook,2
Feeling smooth like chrome,positive,twitter,1
Errors are red but my life is looks like blue film,negative,instagram,0
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,facebook,2
"Errors are red but my life is blue, I love rose and your lips baby",positive,twitter,1
 Sounds like me,neutral,instagram,2
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,facebook,2
Walking to class. I hate not having a bike....especially mine.,negative,twitter,0
sounds good,neutral,instagram,2
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,facebook,0
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,instagram,1
happy mother`s day to all the mothers in the world.,positive,facebook,1
"I've got a fever, can you chcek, a good song, I'm listening this song everytime",positive,twitter,1
Fun night! Listened through the next episode of this turkey drama,positive,instagram,1
The exception for a short dude: Larenz fineass Tate yum,neutral,facebook,2
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,twitter,1
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,instagram,1
 Yes i work 6 to 3...,neutral,facebook,2
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,twitter,2
Done at the spa   now meeting vic for some late lunch!,neutral,instagram,2
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,facebook,1
 Always have wanted to go to Oz,neutral,twitter,2
 Thx,neutral,instagram,2
I love this youtube tutorial,positive,facebook,1
  that`s why I need to be there...To represent the Blackberries,positive,twitter,1
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,instagram,2
 If only we could ever actually be allowed to stay here and do that,neutral,facebook,2
 Let me know how that turns out!!,neutral,twitter,2
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral,instagram,2
" yeah I was thinking about that ,ahaha",positive,facebook,1
 Dont know whether that helps. Google it to know more,neutral,instagram,2
I`m not sleeping at all until  accepts my appology,negative,twitter,0
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,facebook,0
" I live for pain, bring it on",neutral,instagram,2
"okay, i`m out for a while  back later!",neutral,twitter,2
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral,facebook,2
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,instagram,1
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,twitter,2
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,facebook,0
going to shower because i don`t want to smell at school tomorrow,neutral,instagram,2
 Sigh... you know I am...,neutral,twitter,2
"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,facebook,1
Here are 4 FREE notebooks to know machine learning well,neutral,instagram,2
just got home from work.... and is chugging down a big bottle of apple juice.,neutral,twitter,2
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,instagram,0
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,facebook,1
 it was only once for my big brother...and I`m done now,neutral,twitter,2
good news: finally finished my workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,instagram,2
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,facebook,1
FTSK and Mercy Mercedes were amazing tonight.. as always,positive,twitter,1
  hope he is ok!,positive,instagram,1
can`t school just be done already? it hurts too much... seeing him every day,positive,facebook,1
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,twitter,2
 Hell Yeah!,neutral,instagram,2
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,facebook,2
 i know!!,neutral,twitter,2
 huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,instagram,2
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,facebook,1
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,twitter,1
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,instagram,1
HAPPY MOTHERS DAY.!,positive,facebook,1
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive,twitter,1
  Thanks,positive,instagram,1
twittering after 2 days!,neutral,twitter,2
Getting ready for week  Its too nice today to be stuck inside working!,positive,instagram,1
I am tres depressed,negative,facebook,0
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,twitter,0
Happy Mothers Day people. i love my mom a lot still,positive,instagram,1
 I`m sorry to hear that.,negative,facebook,0
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive,twitter,1
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,instagram,1
Is getting the hang of Twitter.,neutral,facebook,2
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,twitter,0
I want it BACK NOW!,neutral,instagram,2
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,facebook,0
"bathing with two little angels, Keyla and Janice.",neutral,twitter,2
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,instagram,0
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral,twitter,2
"Family is here,hanging with them",neutral,instagram,2
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,facebook,1
 what`s goin on hun?  I`m worried about you,negative,instagram,0
 Im not bannished... but I am at work till 6,negative,facebook,0
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral,twitter,2
" red top tabloids, build em up, knock em down",neutral,instagram,2
tonight in party w/ my girls (minus vita),positive,facebook,1
  why not now you made me sad I thought you`d be jumping for joy,neutral,twitter,2
 Simple my,neutral,instagram,2
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral,facebook,2
" I saw the play of it here, it was amazing",positive,twitter,1
i am glad to break my twitter virginity with you two.,positive,instagram,1
Dinner with the fam... I have missed them,negative,facebook,0
"Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral,twitter,2
Hell yeah Kellynn got a Twitter. Finally.,neutral,instagram,2
" I know   It was worth a shot, though!",positive,facebook,1
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive,twitter,1
Ship. I`m stuck.,negative,instagram,0
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive,facebook,1
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative,twitter,0
whats the day going on,neutral,instagram,2
It looks like the office TV DOES get MLB Network,neutral,facebook,2
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral,twitter,2
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative,instagram,0
today is a busy day. exhausting!,negative,facebook,0
" I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral,twitter,2
 Sorry to hear ur flight got cancelled  that blows!!!,negative,instagram,0
ohh my tooth is hurts ohh  im sad it very hurts,negative,facebook,0
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,twitter,1
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative,instagram,0
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral,facebook,2
sore throat. Planning the TET outing to Marwell though...good times,neutral,twitter,2
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive,instagram,1
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative,facebook,0
 There!,neutral,twitter,2
?sucks!?..,negative,instagram,0
 whens the sway sway winner announced?,neutral,twitter,2
 K will check it out...,neutral,facebook,2
" doing pretty well, up and wide awake",positive,instagram,1
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral,twitter,2
I Miss Daddy and Mommy,negative,facebook,0
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative,instagram,0
I just realized that I can`t forward text msgs with my iPhone.,neutral,twitter,2
"My frist post... Off to find a new car for my parents, exciting!",positive,facebook,1
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative,instagram,0
seriously bored without anyone to talk to... but not tired enough for sleep,negative,twitter,0
 I am lost. Please help me find a good home.,negative,instagram,0
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral,facebook,2
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative,instagram,0
 LMAO... Smh!  that one threw me off.,neutral,twitter,2
 oh nice going!,positive,instagram,1
Is getting ready for work... Working all weekend,neutral,facebook,2
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive,twitter,1
 i agree with you!,positive,instagram,1
 I only do computers. Am hopeless at everything else,negative,facebook,0
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive,twitter,1
_2nd aww thanks!,positive,instagram,1
 Sorry RB is on PS3 for me,negative,facebook,0
I saw amazing heeels. But they were too big,neutral,twitter,2
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative,instagram,0
dang last url went down  ? http://blip.fm/~7aigm,negative,facebook,0
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative,twitter,0
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative,instagram,0
 my boss. She`s moving to NYC,neutral,facebook,2
this is sooo crazy i have fever..,negative,twitter,0
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative,instagram,0
I think i need some new friends,neutral,facebook,2
 Looking forward to your gig in Ireland!!!  See ya there!,neutral,twitter,2
I' watching a movie name Adimurie,positive,instagram,1
aww  you loooove me,positive,facebook,1
"is hungry, twitter.  i want food.",neutral,twitter,2
awesome lucky you,positive,instagram,1
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",neutral,facebook,2
" haha im jewish, i love that one",positive,twitter,1
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",neutral,instagram,2
 l`m on 3 days too matt. No fun this weekend.,negative,facebook,0
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral,instagram,2
 I feel your pain. Mine is the same way,negative,twitter,0
comes home in two days,neutral,facebook,2
 Sadly no. It didn`t come with one...,negative,instagram,0
Cant wait to see my boy tomorrow,positive,twitter,1
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral,facebook,2
 aww I miss driving down elmwood,negative,instagram,0
Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive,twitter,1
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched",positive,facebook,1
_30439 I really wish I could go!,positive,instagram,1
" yeah real hard, but I know you`ll get by with it... smile",neutral,twitter,2
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative,facebook,0
  This has made my night!!  Way too funny!!,positive,instagram,1
Woo CAVS.  Happy Mother`s Day!,positive,twitter,1
 I make that same face when I get home and your mom is watching soaps.,neutral,facebook,2
I have to go to work now.,neutral,instagram,2
 I can`t believe you went and got boba without me.,neutral,facebook,2
"  And to you too, how are you today?",neutral,twitter,2
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive,instagram,1
19 days and counting,neutral,facebook,2
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative,instagram,0
BRAINFREEZE,neutral,twitter,2
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral,facebook,2
"My sunburn is peeling,",negative,instagram,0
perky purple nail polish isn`t as perky when its chipped,neutral,twitter,2
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",neutral,facebook,2
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative,instagram,0
I hate the dentist,negative,twitter,0
" nothing aimed at you, just joining in...sorry",negative,facebook,0
I`m taking a twitter break. Cell is dying,negative,instagram,0
 qood morninq,neutral,twitter,2
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral,facebook,2
needs more followers,neutral,instagram,2
I wish I could get my nails done  stupid job,negative,twitter,0
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,neutral,facebook,2
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral,instagram,2
 Have a good one,positive,facebook,1
" yep infact she is popular, miss india 99, talented film actress .... and lot more",positive,twitter,1
Dosen`t Want To Go To Work Tomorrow,negative,instagram,0
Daniel has won DSDS. His voice is great.,positive,facebook,1
I need blood O negative,neutral,instagram,2
was hoping to go to Red Lobster this weekend,neutral,twitter,2
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive,instagram,1
I sure do hope it becomes 4:20 this afternoon ...,positive,facebook,1
 it means that you are now FAMOUS. Congrats!,positive,twitter,1
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative,instagram,0
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive,facebook,1
tamlyn wishes she was as cool as my sock draw,positive,twitter,1
 so no rice or crusty bread with the chili .... aawww,neutral,instagram,2
"  We are of like minds this evening , my dear!",neutral,facebook,2
come and save me from my packing please?!,neutral,instagram,2
"Yes, I love tea. If that makes me typically English then so be it",positive,twitter,1
 a mouth for sure,positive,facebook,1
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral,instagram,2
 pancakes!! with lemon and sugar thanks!,positive,twitter,1
" Si, no bueno  I guess I just don`t entertain him ",negative,facebook,0
I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative,instagram,0
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative,twitter,0
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive,facebook,1
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative,instagram,0
Goodmorning,positive,twitter,1
Took a shift tomorrow.    I don`t really feel like working right now.,negative,facebook,0
